Date,CAH,COR,HSIC,MCK,OMI,PDCO,ZYXI
2013-10-30,41.103355407714844,55.56906509399414,43.913726806640625,143.6560516357422,30.874223709106445,29.594518661499023,0.10272707790136337
2013-10-31,43.30320358276367,55.66278076171875,44.09019470214844,143.93226623535156,30.874223709106445,29.727380752563477,0.10761889815330505
2013-11-01,44.476951599121094,56.55741500854492,44.070587158203125,146.7862091064453,30.94847297668457,29.81829071044922,0.1222943514585495
2013-11-04,45.62117004394531,57.1623649597168,44.34901809692383,147.0439910888672,31.4105224609375,30.18891716003418,0.10272707790136337
2013-11-05,44.7057991027832,56.97491455078125,43.36470413208008,146.30747985839844,30.469938278198242,29.92319107055664,0.11740253120660782
2013-11-06,45.21516418457031,57.22200393676758,43.20784378051758,144.0427703857422,30.412189483642578,30.13996696472168,0.1222943514585495
2013-11-07,44.89772415161133,56.85565185546875,42.8784294128418,143.88623046875,30.2224178314209,29.944162368774414,0.11251071095466614
2013-11-08,45.990272521972656,57.937686920166016,43.588233947753906,145.9761505126953,30.89897346496582,30.244869232177734,0.11251071095466614
2013-11-11,46.47749710083008,58.03143310546875,43.6274528503418,146.2891082763672,30.77521514892578,30.23786735534668,0.10761889815330505
2013-11-12,46.50703048706055,58.184791564941406,44.0941162109375,145.35922241210938,30.94847297668457,30.23786735534668,0.10761889815330505
2013-11-13,47.19356155395508,58.355194091796875,44.47058868408203,145.35922241210938,31.121753692626953,30.56654167175293,0.10761889815330505
2013-11-14,47.62171936035156,59.180233001708984,45.01568603515625,146.80470275878906,31.286762237548828,30.95815086364746,0.1222943514585495
2013-11-15,47.86530685424805,59.41962814331055,44.68235397338867,147.43991088867188,31.154747009277344,30.54556655883789,0.1222943514585495
2013-11-18,47.784122467041016,59.12037658691406,44.53333282470703,146.17860412597656,30.79997444152832,30.167932510375977,0.11251071095466614
2013-11-19,47.93915557861328,58.88098907470703,44.30195999145508,146.57452392578125,30.750469207763672,29.98611831665039,0.1565365195274353
2013-11-20,47.82102584838867,59.28282928466797,44.42353057861328,145.81956481933594,30.964977264404297,29.790319442749023,0.14675290882587433
2013-11-21,48.2418098449707,59.66755294799805,44.90980529785156,148.13035583496094,31.31151580810547,28.748367309570312,0.16142836213111877
2013-11-22,47.99820327758789,59.86418914794922,44.913726806640625,150.625244140625,31.427030563354492,29.181930541992188,0.1565365195274353
2013-11-25,48.06463623046875,60.20619201660156,44.992156982421875,152.0338897705078,31.36927604675293,29.335779190063477,0.1516447216272354
2013-11-26,47.90962219238281,60.368629455566406,44.843135833740234,151.30657958984375,31.344520568847656,29.070035934448242,0.12718617916107178
2013-11-27,47.59219741821289,60.27458953857422,44.866668701171875,152.58816528320312,31.542543411254883,28.91618537902832,0.14675290882587433
2013-11-29,47.688148498535156,60.30024337768555,44.70588302612305,152.9477081298828,31.493030548095703,29.014087677001953,0.1516447216272354
2013-12-02,47.70291519165039,60.60802459716797,44.94117736816406,151.8228302001953,31.526033401489258,28.909198760986328,0.1516447216272354
